function,line_search_eps,point,value,iterations,func_evals,reason
Adjiman,1e-03,"(0.636268, -1.000000)",-0.9949450172,2,54,func\_shift
Adjiman,1e-05,"(0.636268, -1.000000)",-0.9949450172,2,74,func\_shift
Adjiman,1e-07,"(0.636268, -1.000000)",-0.9949450172,2,90,point\_shift
Ackley 2,1e-03,"(-0.000562, -0.000562)",-199.9968196435,10000,250000,max\_iter
Ackley 2,1e-05,"(-0.000000, -0.000000)",-199.9999987736,32,1088,func\_shift
Ackley 2,1e-07,"(-0.000000, -0.000000)",-199.9999999996,2,88,point\_shift
Schaffer N.2,1e-03,"(0.000000, 0.000000)",0.0000000000,1,53,grad\_norm
Schaffer N.2,1e-05,"(0.000000, 0.000000)",0.0000000000,1,63,grad\_norm
Schaffer N.2,1e-07,"(0.000000, 0.000000)",0.0000000000,1,72,grad\_norm
Rosenbrock,1e-03,"(-5.000000, 5.000000)",40036.0000000000,10000,259998,max\_iter
Rosenbrock,1e-05,"(-5.000000, 5.000000)",40036.0000000000,10000,354997,max\_iter
Rosenbrock,1e-07,"(-5.000000, 5.000000)",40036.0000000000,10000,449998,max\_iter
