function,t,point,value,iterations,func_evals,reason
Adjiman,0.1,"(0.634953, -1.000000)",-0.9949444325,97,582,func\_shift
Adjiman,1,"(0.636164, -1.000000)",-0.9949450136,8,48,func\_shift
Adjiman,10,"(2.000000, 0.105824)",-2.0218067803,8,80,func\_shift
Adjiman,100,"(2.000000, 0.105681)",-2.0218067637,13,170,func\_shift
Ackley 2,0.1,"(-0.000000, -0.000000)",-199.9999999723,15,197,point\_shift
Ackley 2,1,"(0.000000, 0.000000)",-199.9999998802,15,259,point\_shift
Ackley 2,10,"(-0.000000, -0.000000)",-199.9999990849,38,912,func\_shift
Ackley 2,100,"(-0.000000, -0.000000)",-199.9999999858,12,295,point\_shift
Schaffer N.2,0.1,"(-0.353711, -0.353711)",0.0002501286,5209,31254,func\_shift
Schaffer N.2,1,"(-0.111557, -0.111557)",0.0000248888,1097,6582,func\_shift
Schaffer N.2,10,"(-0.034363, -0.034363)",0.0000023617,167,1002,func\_shift
Schaffer N.2,100,"(-0.009262, -0.009262)",0.0000001716,21,126,func\_shift
Rosenbrock,0.1,"(0.913680, 0.835016)",0.0074553357,2484,29718,func\_shift
Rosenbrock,1,"(1.609039, 2.592703)",0.3722947198,50,777,func\_shift
Rosenbrock,10,"(0.943515, 0.890432)",0.0031950549,1009,17725,func\_shift
Rosenbrock,100,"(1.033461, 1.067994)",0.0011198733,47,1017,func\_shift
