function,method,start_requested,start_used,point,value,iterations,func_evals,reason
Adjiman,gradDest,"(-1.000000, -1.000000)","(-1.000000, -1.000000)","(0.636164, -1.000000)",-0.9949450136,8,48,func\_shift
Adjiman,fastGradDest,"(-1.000000, -1.000000)","(-1.000000, -1.000000)","(0.636268, -1.000000)",-0.9949450172,2,74,func\_shift
Adjiman,gradDest,"(2.000000, 2.000000)","(2.000000, 1.000000)","(2.000000, 0.106212)",-2.0218064354,47,328,func\_shift
Adjiman,fastGradDest,"(2.000000, 2.000000)","(2.000000, 1.000000)","(2.000000, 0.105783)",-2.0218067834,2,71,func\_shift
Adjiman,gradDest,"(5.000000, 5.000000)","(2.000000, 1.000000)","(2.000000, 0.106212)",-2.0218064354,47,328,func\_shift
Adjiman,fastGradDest,"(5.000000, 5.000000)","(2.000000, 1.000000)","(2.000000, 0.105783)",-2.0218067834,2,71,func\_shift
Adjiman,gradDest,"(0.500000, 0.500000)","(0.500000, 0.500000)","(2.000000, 0.105354)",-2.0218064339,51,355,func\_shift
Adjiman,fastGradDest,"(0.500000, 0.500000)","(0.500000, 0.500000)","(2.000000, 0.105783)",-2.0218067834,4,142,func\_shift
Adjiman,gradDest,"(-0.562992, -0.090146)","(-0.562992, -0.090146)","(0.636115, -1.000000)",-0.9949450093,7,42,func\_shift
Adjiman,fastGradDest,"(-0.562992, -0.090146)","(-0.562992, -0.090146)","(0.636268, -1.000000)",-0.9949450172,2,74,func\_shift
Ackley 2,gradDest,"(-1.000000, -1.000000)","(-1.000000, -1.000000)","(0.000000, 0.000000)",-199.9999998802,15,259,point\_shift
Ackley 2,fastGradDest,"(-1.000000, -1.000000)","(-1.000000, -1.000000)","(-0.000000, -0.000000)",-199.9999987736,32,1088,func\_shift
Ackley 2,gradDest,"(2.000000, 2.000000)","(2.000000, 2.000000)","(-0.000000, -0.000000)",-199.9999998900,13,248,point\_shift
Ackley 2,fastGradDest,"(2.000000, 2.000000)","(2.000000, 2.000000)","(-0.000000, -0.000000)",-199.9999987227,31,1057,func\_shift
Ackley 2,gradDest,"(5.000000, 5.000000)","(5.000000, 5.000000)","(-0.000000, -0.000000)",-199.9999998695,12,224,point\_shift
Ackley 2,fastGradDest,"(5.000000, 5.000000)","(5.000000, 5.000000)","(0.000000, 0.000000)",-199.9999987437,32,1093,func\_shift
Ackley 2,gradDest,"(0.500000, 0.500000)","(0.500000, 0.500000)","(0.000000, 0.000000)",-199.9999998956,16,310,point\_shift
Ackley 2,fastGradDest,"(0.500000, 0.500000)","(0.500000, 0.500000)","(0.000000, 0.000000)",-199.9999987440,32,1088,func\_shift
Ackley 2,gradDest,"(5.193736, -19.535712)","(5.193736, -19.535712)","(0.000000, 0.000000)",-199.9999998938,25,386,point\_shift
Ackley 2,fastGradDest,"(5.193736, -19.535712)","(5.193736, -19.535712)","(0.000000, -0.000000)",-199.9999987558,36,1234,func\_shift
Schaffer N.2,gradDest,"(-1.000000, -1.000000)","(-1.000000, -1.000000)","(-0.111557, -0.111557)",0.0000248888,1097,6582,func\_shift
Schaffer N.2,fastGradDest,"(-1.000000, -1.000000)","(-1.000000, -1.000000)","(0.000000, 0.000000)",0.0000000000,1,63,grad\_norm
Schaffer N.2,gradDest,"(2.000000, 2.000000)","(2.000000, 2.000000)","(0.111503, 0.111503)",0.0000248648,1448,8688,func\_shift
Schaffer N.2,fastGradDest,"(2.000000, 2.000000)","(2.000000, 2.000000)","(-0.000000, -0.000000)",0.0000000000,1,63,grad\_norm
Schaffer N.2,gradDest,"(5.000000, 5.000000)","(5.000000, 5.000000)","(0.111541, 0.111541)",0.0000248819,1938,11628,func\_shift
Schaffer N.2,fastGradDest,"(5.000000, 5.000000)","(5.000000, 5.000000)","(-0.000000, -0.000000)",0.0000000000,1,63,grad\_norm
Schaffer N.2,gradDest,"(0.500000, 0.500000)","(0.500000, 0.500000)","(0.111477, 0.111477)",0.0000248534,750,4500,func\_shift
Schaffer N.2,fastGradDest,"(0.500000, 0.500000)","(0.500000, 0.500000)","(-0.000000, -0.000000)",0.0000000000,1,63,grad\_norm
Schaffer N.2,gradDest,"(-70.365759, 23.193057)","(-70.365759, 23.193057)","(-70.404952, 23.165415)",0.4881419535,7,86,func\_shift
Schaffer N.2,fastGradDest,"(-70.365759, 23.193057)","(-70.365759, 23.193057)","(-72.654701, 22.438465)",0.4891299869,2,68,func\_shift
Rosenbrock,gradDest,"(-1.000000, -1.000000)","(-1.000000, -1.000000)","(1.609039, 2.592703)",0.3722947198,50,777,func\_shift
Rosenbrock,fastGradDest,"(-1.000000, -1.000000)","(-1.000000, -1.000000)","(-5.000000, 5.000000)",40036.0000000000,10000,354997,max\_iter
Rosenbrock,gradDest,"(2.000000, 2.000000)","(2.000000, 2.000000)","(1.168319, 1.366354)",0.0285231189,4264,66711,func\_shift
Rosenbrock,fastGradDest,"(2.000000, 2.000000)","(2.000000, 2.000000)","(5.000000, 5.000000)",40016.0000000000,10000,355000,max\_iter
Rosenbrock,gradDest,"(5.000000, 5.000000)","(5.000000, 5.000000)","(1.578995, 2.497126)",0.3367569134,7098,117474,func\_shift
Rosenbrock,fastGradDest,"(5.000000, 5.000000)","(5.000000, 5.000000)","(5.000000, 5.000000)",40016.0000000000,10000,355000,max\_iter
Rosenbrock,gradDest,"(0.500000, 0.500000)","(0.500000, 0.500000)","(0.936054, 0.875519)",0.0041350401,1069,15528,func\_shift
Rosenbrock,fastGradDest,"(0.500000, 0.500000)","(0.500000, 0.500000)","(-5.000000, 5.000000)",40036.0000000000,10000,355000,max\_iter
Rosenbrock,gradDest,"(4.790501, -0.437017)","(4.790501, -0.437017)","(1.578995, 2.497126)",0.3367569134,7100,117486,func\_shift
